learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.071806893,1.47125837020576E-10,10000.0,87.72,72.43923828338828,73.61976369495166,66.06797457861288,10000.0,7920.0
20000.0,0.136781534,2.802530068904161E-10,20000.0,87.935,72.8329993694959,74.05097322292718,66.40211640211639,20000.0,7920.0
30000.0,0.203223354,4.163862939924001E-10,30000.0,78.97,57.10162154646633,55.64226956338324,45.134359509522554,30000.0,7920.0
40000.0,0.273041898,5.59438183531165E-10,40000.0,78.19749999999999,56.141630197651835,54.59231490159324,44.66370558375634,40000.0,7920.0
50000.0,0.339471055,6.955455252900718E-10,50000.0,78.656,57.14117053455154,55.840609095046965,46.81815916679126,50000.0,7920.0
60000.0,0.40641328,8.327040970325468E-10,60000.0,75.73333333333333,51.538591635119566,48.746831878344125,36.91234455565666,60000.0,7920.0
70000.0,0.473573961,9.703102653846143E-10,70000.0,75.37285714285714,50.35809333947463,47.06604845395646,33.764936412187346,70000.0,7920.0
80000.0,0.540536328,1.1075101062655448E-9,80000.0,75.96625,50.72858266503844,47.65456970950968,33.649665263303206,80000.0,7920.0
90000.0,0.613087577,1.2561610614880918E-9,90000.0,73.97777777777777,47.56154987339937,43.77760706740925,29.66122056703508,90000.0,7920.0
100000.0,0.690713424,1.4152094095945357E-9,100000.0,73.53,46.843315984347846,43.24492377623876,29.520462230742584,100000.0,7920.0
